user_id,article_id,time_spent_cleaned
2,119592,71.7
7,235840,47.7
16,237620,56.7
16,162286,87.9
16,157132,65.1
16,207122,313.2
16,206233,0.0
16,256163,42.3
24,162286,87.9
24,287174,43.8
24,161498,89.7
30,96663,61.8
41,286418,63.3
41,284845,70.5
49,283904,62.1
53,284847,79.80000000000001
53,236682,49.8
54,119592,71.7
85,7947,60.3
87,202436,99.9
87,235840,47.7
88,145166,54.0
88,284845,70.5
111,202436,99.9
112,207374,63.9
112,195586,56.4
117,237620,56.7
119,108854,50.1
121,235840,47.7
121,157541,84.0
123,160474,80.7
128,96663,61.8
130,108854,50.1
139,235840,47.7
142,119592,71.7
155,157541,84.0
172,96663,61.8
183,159359,41.7
183,96663,61.8
183,207122,313.2
183,141517,31.8
183,284847,79.80000000000001
183,162286,87.9
183,119592,71.7
183,263974,82.2
183,157861,88.8
196,119592,71.7
196,145166,54.0
201,96663,61.8
238,108854,50.1
238,119592,71.7
239,209723,54.3
254,119592,71.7
256,108854,50.1
261,284847,79.80000000000001
272,272947,55.8
286,145166,54.0
286,96663,61.8
286,284847,79.80000000000001
286,68866,67.8
286,119592,71.7
286,31862,66.3
286,159359,41.7
288,288431,62.400000000000006
288,284847,79.80000000000001
305,96663,61.8
307,96663,61.8
314,261680,68.1
319,119592,71.7
326,96663,61.8
333,108854,50.1
355,108854,50.1
371,159359,41.7
371,157541,84.0
378,96663,61.8
378,145166,54.0
384,288431,62.400000000000006
391,235840,47.7
396,106886,67.2
396,106962,37.8
402,96663,61.8
402,68866,67.8
413,284847,79.80000000000001
419,235840,47.7
427,106984,4.8
427,168868,44.1
427,44488,48.6
436,96663,61.8
445,108854,50.1
445,119592,71.7
452,106819,33.6
452,207122,313.2
465,235840,47.7
465,96663,61.8
466,129960,59.7
480,261633,56.1
494,96663,61.8
502,108854,50.1
511,85632,43.8
517,119592,71.7
517,96663,61.8
517,15079,49.5
517,13540,40.5
524,168868,44.1
544,284847,79.80000000000001
550,119592,71.7
578,235840,47.7
595,202436,99.9
603,108854,50.1
612,145166,54.0
629,119592,71.7
629,96663,61.8
629,159359,41.7
652,68866,67.8
652,156718,55.8
658,293264,70.8
660,119592,71.7
667,119592,71.7
667,202436,99.9
677,237620,56.7
691,97600,56.7
691,95513,54.900000000000006
696,355863,51.6
705,119592,71.7
730,355549,48.0
730,355540,48.9
730,355530,53.4
731,119592,71.7
772,119592,71.7
776,119592,71.7
779,108854,50.1
779,68866,67.8
780,236713,52.8
788,202436,99.9
795,145166,54.0
803,145166,54.0
803,157541,84.0
809,145166,54.0
831,288754,57.3
847,108854,50.1
847,284847,79.80000000000001
847,182456,48.0
847,96663,61.8
859,202092,52.2
862,108854,50.1
867,108854,50.1
867,235840,47.7
868,119592,71.7
869,331293,51.0
875,205897,83.39999999999999
877,96663,61.8
890,119592,71.7
890,97600,56.7
891,284847,79.80000000000001
891,119592,71.7
891,270225,58.2
891,342239,45.3
891,288984,64.80000000000001
891,263429,50.1
919,207122,313.2
920,108854,50.1
920,96663,61.8
928,272148,56.4
928,272947,55.8
928,272259,36.6
939,119592,71.7
939,96663,61.8
942,119592,71.7
942,202436,99.9
942,235840,47.7
942,30970,64.80000000000001
942,31092,63.6
942,31862,66.3
942,363291,58.5
943,280182,69.3
949,235840,47.7
963,235840,47.7
968,157077,60.6
968,160964,71.7
968,293264,70.8
976,36125,56.4
976,33331,53.4
1007,97600,56.7
1007,95513,54.900000000000006
1020,235840,47.7
1024,119592,71.7
1024,68866,67.8
1031,207122,313.2
1040,108854,50.1
1045,271848,72.30000000000001
1052,168701,66.60000000000001
1053,119592,71.7
1053,207122,313.2
1053,336431,47.400000000000006
1054,256384,71.39999999999999
1054,161810,51.3
1054,158189,53.4
1070,168868,44.1
1070,108854,50.1
1070,68866,67.8
1077,119592,71.7
1096,207122,313.2
1105,108854,50.1
1110,108854,50.1
1116,235840,47.7
1116,207122,313.2
1126,159359,41.7
1126,119592,71.7
1126,96663,61.8
1131,293264,70.8
1131,157541,84.0
1133,145166,54.0
1136,108854,50.1
1151,110112,64.5
1166,96663,61.8
1174,119592,71.7
1183,119592,71.7
1185,119592,71.7
1188,205897,83.39999999999999
1192,68866,67.8
1193,119592,71.7
1197,119592,71.7
1233,235840,47.7
1249,119592,71.7
1253,96663,61.8
1271,286135,39.900000000000006
1277,129960,59.7
1279,168868,44.1
1295,202436,99.9
1297,119592,71.7
1305,96663,61.8
1309,119592,71.7
1309,283220,45.6
1318,68866,67.8
1337,235840,47.7
1340,168868,44.1
1343,235840,47.7
1343,168868,44.1
1360,235840,47.7
1360,284847,79.80000000000001
1360,119592,71.7
1361,145166,54.0
1361,96663,61.8
1393,168868,44.1
1397,237620,56.7
1403,106984,4.8
1403,235840,47.7
1403,166552,45.6
1403,157077,60.6
1403,157132,65.1
1423,108854,50.1
1430,288463,50.4
1443,68866,67.8
1443,233769,68.39999999999999
1460,108854,50.1
1460,68866,67.8
1472,108854,50.1
1483,119592,71.7
1483,235840,47.7
1486,96663,61.8
1486,119592,71.7
1486,277681,57.3
1486,166403,78.89999999999999
1486,191330,41.4
1491,119592,71.7
1494,284847,79.80000000000001
1496,160474,80.7
1496,207122,313.2
1505,108854,50.1
1538,108854,50.1
1558,119592,71.7
1569,108854,50.1
1570,119592,71.7
1582,284847,79.80000000000001
1618,108854,50.1
1630,353055,47.7
1630,106819,33.6
1643,157541,84.0
1648,68866,67.8
1674,237620,56.7
1683,235994,66.3
1684,96663,61.8
1687,237620,56.7
1688,96663,61.8
1689,235840,47.7
1696,119592,71.7
1696,202436,99.9
1696,235840,47.7
1697,202436,99.9
1704,108854,50.1
1708,202551,6.6
1720,68866,67.8
1720,96663,61.8
1720,145166,54.0
1728,119592,71.7
1744,96663,61.8
1744,157077,60.6
1744,119592,71.7
1758,157132,65.1
1758,285412,59.7
1763,119592,71.7
1768,68866,67.8
1781,237620,56.7
1786,236682,49.8
1800,235840,47.7
1802,168701,66.60000000000001
1821,205897,83.39999999999999
1821,68866,67.8
1827,119592,71.7
1831,108854,50.1
1836,119592,71.7
1844,68866,67.8
1847,162178,46.5
1870,96663,61.8
1892,157541,84.0
1892,272783,53.7
1914,207122,313.2
1914,96663,61.8
1914,205897,83.39999999999999
1934,108854,50.1
1934,207122,313.2
1934,235840,47.7
1934,233769,68.39999999999999
1934,293002,50.1
1934,261633,56.1
1943,68866,67.8
1943,284845,70.5
1943,96663,61.8
1943,168868,44.1
1949,207122,313.2
1964,119592,71.7
1964,235840,47.7
1974,235840,47.7
1976,207122,313.2
1994,251735,55.8
1995,114428,52.2
1995,338351,54.900000000000006
1997,235840,47.7
2027,108854,50.1
2030,119592,71.7
2030,31862,66.3
2031,108854,50.1
2031,157541,84.0
2032,168868,44.1
2032,108854,50.1
2038,235840,47.7
2043,106781,39.0
2043,106886,67.2
2043,207122,313.2
2045,119592,71.7
2045,68866,67.8
2064,119592,71.7
2064,363291,58.5
2064,205859,87.30000000000001
2068,68866,67.8
2086,96663,61.8
2088,235840,47.7
2102,68866,67.8
2102,16833,64.80000000000001
2109,119592,71.7
2113,68866,67.8
2130,235840,47.7
2130,68866,67.8
2140,119592,71.7
2141,68866,67.8
2146,207122,313.2
2148,145166,54.0
2152,205897,83.39999999999999
2152,160474,80.7
2152,213871,117.9
2157,235840,47.7
2188,159359,41.7
2188,157541,84.0
2199,119592,71.7
2206,119592,71.7
2206,235840,47.7
2206,68866,67.8
2212,157132,65.1
2212,119592,71.7
2212,284847,79.80000000000001
2212,237620,56.7
2230,16833,64.80000000000001
2231,68866,67.8
2231,207122,313.2
2251,119592,71.7
2252,119592,71.7
2252,68866,67.8
2264,96663,61.8
2266,108854,50.1
2268,119592,71.7
2271,119592,71.7
2271,284847,79.80000000000001
2296,284847,79.80000000000001
355,207122,313.2
2302,119592,71.7
2317,363976,58.5
2321,284847,79.80000000000001
2324,96663,61.8
2335,235840,47.7
2341,207122,313.2
2341,119592,71.7
2343,119592,71.7
2351,119592,71.7
2354,255575,64.80000000000001
2354,255340,52.8
2367,207122,313.2
2374,68866,67.8
2388,119592,71.7
2389,207122,313.2
2409,119592,71.7
2448,108854,50.1
2448,207122,313.2
2448,161492,54.6
2470,119592,71.7
2470,162063,37.8
2470,68866,67.8
2470,352227,45.3
2483,235840,47.7
2483,119592,71.7
2483,96663,61.8
2485,106886,67.2
2495,207122,313.2
2495,119592,71.7
2502,136973,52.8
2502,136101,60.6
2502,251735,55.8
2502,136590,45.3
2502,260988,66.3
2503,119592,71.7
2511,119592,71.7
2511,284847,79.80000000000001
2512,207122,313.2
2532,96663,61.8
2532,68866,67.8
2548,57850,50.1
2563,119592,71.7
2574,235840,47.7
2574,233769,68.39999999999999
2583,166552,45.6
2584,160474,80.7
2584,363291,58.5
2587,207122,313.2
2614,119592,71.7
2614,145166,54.0
2619,207122,313.2
2633,119592,71.7
2633,108854,50.1
2666,119592,71.7
2666,30169,52.2
2666,30970,64.80000000000001
2666,258386,56.7
2666,234427,62.7
2685,207122,313.2
2685,68866,67.8
2712,106984,4.8
2713,119592,71.7
2715,263974,82.2
2733,316239,63.6
2748,207122,313.2
2761,207122,313.2
2762,207122,313.2
2764,158189,53.4
2767,207122,313.2
2772,207122,313.2
2772,119592,71.7
2786,108854,50.1
2786,119592,71.7
2786,284847,79.80000000000001
2791,223760,56.4
2800,207122,313.2
2800,96663,61.8
2800,136689,56.4
2800,160474,80.7
2800,157132,65.1
2800,136791,52.2
2800,119592,71.7
2800,141517,31.8
2800,258386,56.7
2801,207122,313.2
2815,207122,313.2
2839,237620,56.7
2839,101979,12.3
2839,331676,97.8
2839,331293,51.0
2848,108854,50.1
2848,168701,66.60000000000001
2855,108854,50.1
2856,207122,313.2
2863,207122,313.2
2863,68866,67.8
2870,207122,313.2
2870,332114,79.5
2879,207122,313.2
2882,235840,47.7
2888,108854,50.1
2888,160474,80.7
2888,119592,71.7
2888,293002,50.1
2888,277681,57.3
2894,207122,313.2
2902,119592,71.7
2902,235840,47.7
2904,30169,52.2
2904,32608,48.3
2913,207122,313.2
2918,68866,67.8
2918,119592,71.7
2922,234853,42.0
2945,106984,4.8
2945,202436,99.9
2967,207122,313.2
2973,119592,71.7
2973,96663,61.8
2974,145166,54.0
2980,96663,61.8
2980,199653,58.5
2981,96663,61.8
677,237620,56.7
2583,207122,313.2
2583,48973,62.400000000000006
3001,119592,71.7
3008,96663,61.8
3008,33733,48.0
3012,233769,68.39999999999999
3012,237620,56.7
3012,119592,71.7
3019,145166,54.0
3022,119592,71.7
3050,207122,313.2
3050,119592,71.7
3054,236682,49.8
3054,235840,47.7
3054,284847,79.80000000000001
3063,207122,313.2
3063,96663,61.8
3063,157541,84.0
3063,363291,58.5
3065,157132,65.1
3065,363291,58.5
3124,108854,50.1
3129,207122,313.2
3131,207122,313.2
3167,119592,71.7
3167,284847,79.80000000000001
3177,119592,71.7
3195,119592,71.7
3195,96663,61.8
3199,207122,313.2
3200,119592,71.7
3208,119592,71.7
3213,119592,71.7
3235,235840,47.7
3235,191330,41.4
3241,207122,313.2
3242,207122,313.2
3254,119592,71.7
3281,119592,71.7
3287,235840,47.7
3287,288431,62.400000000000006
3287,284847,79.80000000000001
3288,119592,71.7
3294,119592,71.7
3310,235840,47.7
3311,207122,313.2
3312,235840,47.7
3324,42656,74.7
3328,207122,313.2
3328,284847,79.80000000000001
3328,260988,66.3
3328,332114,79.5
3329,108854,50.1
3335,168868,44.1
3339,108854,50.1
3339,68866,67.8
3349,119592,71.7
3355,199539,46.8
3365,119592,71.7
3395,96663,61.8
3395,159359,41.7
3395,68866,67.8
3395,251735,55.8
3396,207122,313.2
3404,160474,80.7
3404,286413,49.8
3404,352227,45.3
3404,284847,79.80000000000001
3404,274388,85.8
3404,332114,79.5
3407,119592,71.7
3410,284847,79.80000000000001
3418,168868,44.1
3425,119592,71.7
3425,96663,61.8
3425,284847,79.80000000000001
