weight_collab,weight_content,weight_trend,ratio,precision@5,precision@10,recall@5,recall@10,ndcg@5,ndcg@10,n_users_evaluated
1.0,1.0,4.0,1.0:1.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,3.0,4.0,1.0:3.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,3.0,5.0,1.0:3.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,5.0,4.0,1.0:5.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,5.0,3.0,1.0:5.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,1.0,3.0,2.0:1.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,1.0,3.0,1.0:1.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,5.0,1.0,1.0:5.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,2.0,5.0,1.0:2.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,4.0,4.0,1.0:4.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,4.0,2.0,1.0:4.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,2.0,1.0,1.0:2.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,2.0,3.0,1.0:2.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,1.0,1.0,2.0:1.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,2.0,2.0,1.0:2.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,4.0,1.0,1.0:4.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,1.0,1.0,1.0:1.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,3.0,2.0,1.0:3.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,1.0,2.0,1.0:1.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,2.0,4.0,1.0:2.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,1.0,2.0,2.0:1.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,5.0,5.0,1.0:5.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,3.0,3.0,1.0:3.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,3.0,1.0,1.0:3.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,4.0,3.0,1.0:4.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,1.0,5.0,1.0:1.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,5.0,2.0,1.0:5.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
1.0,4.0,5.0,1.0:4.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,2.0,4.0,2.0:2.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,2.0,1.0,2.0:2.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,1.0,4.0,2.0:1.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,1.0,5.0,2.0:1.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,3.0,2.0,2.0:3.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,2.0,2.0,2.0:2.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,3.0,3.0,2.0:3.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,2.0,3.0,2.0:2.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,4.0,3.0,2.0:4.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,4.0,4.0,2.0:4.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,5.0,3.0,2.0:5.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,3.0,1.0,2.0:3.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,3.0,4.0,2.0:3.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,4.0,2.0,2.0:4.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,5.0,5.0,2.0:5.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,4.0,5.0,2.0:4.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,5.0,1.0,2.0:5.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,1.0,3.0,3.0:1.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,1.0,2.0,3.0:1.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,4.0,1.0,2.0:4.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,2.0,5.0,2.0:2.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,3.0,5.0,2.0:3.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,5.0,2.0,2.0:5.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,1.0,1.0,3.0:1.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,1.0,4.0,3.0:1.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,1.0,5.0,3.0:1.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2.0,5.0,4.0,2.0:5.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,2.0,1.0,3.0:2.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,3.0,2.0,3.0:3.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,3.0,3.0,3.0:3.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,2.0,2.0,3.0:2.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,3.0,5.0,3.0:3.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,3.0,1.0,3.0:3.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,4.0,1.0,3.0:4.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,4.0,4.0,3.0:4.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,2.0,4.0,3.0:2.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,3.0,4.0,3.0:3.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,2.0,5.0,3.0:2.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,5.0,1.0,3.0:5.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,4.0,5.0,3.0:4.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,4.0,2.0,3.0:4.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
4.0,1.0,2.0,4.0:1.0:2.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,2.0,3.0,3.0:2.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,5.0,4.0,3.0:5.0:4.0,0.0,0.0,0.0,0.0,0.0,0.0,100
4.0,1.0,3.0,4.0:1.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,4.0,3.0,3.0:4.0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,100
4.0,2.0,1.0,4.0:2.0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,100
4.0,1.0,5.0,4.0:1.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
3.0,5.0,5.0,3.0:5.0:5.0,0.0,0.0,0.0,0.0,0.0,0.0,100
